EAST;NORTH;RL;JOIN
-15.411084;7.580404;20.000000;1
-9.316779;10.932272;20.000000;1
-0.137232;11.770239;20.000000;1
6.985487;11.008451;20.000000;1
15.441335;7.808941;20.000000;1
16.431660;3.771464;20.000000;1
15.746050;-2.703736;20.000000;1
10.070729;-5.674709;20.000000;1
-0.137232;-6.398408;20.000000;1
-8.745438;-5.141458;20.000000;1
-14.344581;-2.056216;20.000000;1
-15.944336;1.409920;20.000000;1
-15.868157;5.675934;20.000000;1
-15.411084;7.580404;20.000000;1
-11.297428;6.018739;10.000000;2
-4.441335;9.256338;10.000000;2
-0.175322;9.180159;10.000000;2
5.652358;8.113656;10.000000;2
10.565891;7.504225;10.000000;2
13.117881;4.876056;10.000000;2
13.384507;1.866993;10.000000;2
12.470361;-1.446785;10.000000;2
10.489712;-3.579792;10.000000;2
1.043539;-3.732150;10.000000;2
-3.260564;-2.856093;10.000000;2
-8.174097;-0.875444;10.000000;2
-11.106981;0.114881;10.000000;2
-13.049541;2.743050;10.000000;2
-11.297428;6.018739;10.000000;2
-8.669259;3.847642;10.000000;3
-5.926822;6.285364;10.000000;3
-1.584630;6.932884;10.000000;3
3.862156;6.551990;10.000000;3
9.004225;4.990325;10.000000;3
11.289590;2.438334;10.000000;3
9.727924;0.191059;10.000000;3
4.166871;-2.208573;10.000000;3
-1.927434;-0.837355;10.000000;3
-7.259951;2.247887;10.000000;3
-8.669259;3.847642;10.000000;3
-3.603368;3.504838;0.000000;4
-2.384507;4.990325;0.000000;4
1.500612;4.952235;0.000000;4
6.795040;3.466748;0.000000;4
8.623331;1.295652;0.000000;4
6.490325;-0.113656;0.000000;4
2.186222;-0.113656;0.000000;4
-1.965524;1.257563;0.000000;4
-3.603368;3.504838;0.000000;4
