X;Y;Z;JOIN
3.0;0.0;10.0;1
3.0;6.0;0.0;1
4.0;0.0;10.0;2
7.0;6.0;0.0;2
5.0;0.0;10.0;3
9.0;6.0;0.0;3
6.0;0.0;10.0;4
11.0;6.0;0.0;4
7.0;0.0;10.0;5
13.0;6.0;0.0;5
8.0;0.0;10.0;6
8.0;5.0;0.0;6
9.0;0.0;10.0;7
9.0;4.0;0.0;7
10.707106781186548;0.7071067811865476;10.0;8
5.414213562373096;6.0;0.0;8
11.0;1.5857864376269049;10.0;9
4.414213562373095;1.5857864376269049;-1.7763568394002505e-15;9
11.0;2.585786437626905;10.0;10
2.414213562373096;2.585786437626905;0.0;10
11.0;3.585786437626905;10.0;11
2.0;6.17157287525381;0.0;11
11.0;4.585786437626905;10.0;12
2.0;8.17157287525381;0.0;12
11.0;5.585786437626905;10.0;13
2.585786437626904;5.585786437626905;0.0;13
1.1213203435596428;8.121320343559642;10.0;14
3.242640687119284;6.0;0.0;14
1.8284271247461903;8.82842712474619;10.0;15
4.65685424949238;6.0;0.0;15
0.535533905932738;0.464466094067262;10.0;16
6.0710678118654755;6.0;0.0;16
